x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
Unnamed: 0,571,0.0,regression,True,mean absolute error,0.19646129289704709,0.23262421755764023,DecisionTreeRegressor()
Unnamed: 0,573,0.0,regression,True,mean absolute error,0.11378770949720672,0.17238524043059766,DecisionTreeRegressor()
Unnamed: 0,575,0.0,regression,True,mean absolute error,0.03270614525139665,0.049190561343887995,DecisionTreeRegressor()
Unnamed: 0,577,0.0,regression,True,mean absolute error,5.2968216280925775,8.08950545038766,DecisionTreeRegressor()
Unnamed: 0,583,0.0,regression,True,mean absolute error,0.003293530351437699,0.004865654952076677,DecisionTreeRegressor()
Unnamed: 0,589,0.36669995150220036,regression,True,mean absolute error,56.72814273162939,35.92593554313099,DecisionTreeRegressor()
label,Unnamed: 0,0.008088547889445463,regression,True,mean absolute error,392.6129289704709,389.4372604924778,DecisionTreeRegressor()
label,label,1.0,predict_itself,True,,0.0,1.0,
label,2,0.0,regression,True,mean absolute error,22.308477338709686,22.414962088561026,DecisionTreeRegressor()
label,14,0.0,regression,True,mean absolute error,2.2334577813248204,2.236626233857853,DecisionTreeRegressor()
label,19,0.0,regression,True,mean absolute error,0.07851847389558234,0.08215277807399572,DecisionTreeRegressor()
label,40,0.0,regression,True,mean absolute error,12.025136731391587,16.931438144699406,DecisionTreeRegressor()
label,41,0.0,regression,True,mean absolute error,0.8282415857605178,0.905950014532362,DecisionTreeRegressor()
label,56,0.0,regression,True,mean absolute error,0.004674400000000003,0.005010892854308786,DecisionTreeRegressor()
label,59,0.0,regression,True,mean absolute error,5.668783894230769,5.91276720990759,DecisionTreeRegressor()
label,65,0.0,regression,True,mean absolute error,4.696263301282052,4.768572151004578,DecisionTreeRegressor()
label,70,0.0,regression,True,mean absolute error,7.442916266025641,7.448047777419246,DecisionTreeRegressor()
label,78,0.0008829560407667136,regression,True,mean absolute error,0.03789132197891322,0.0378578656072793,DecisionTreeRegressor()
label,84,0.0,regression,True,mean absolute error,0.004001046698872785,0.004016199838727365,DecisionTreeRegressor()
label,92,0.0,regression,True,mean absolute error,0.0021309105431309905,0.002137259861191076,DecisionTreeRegressor()
label,122,0.0023710735712878517,regression,True,mean absolute error,0.7148392,0.7131442636651595,DecisionTreeRegressor()
label,124,0.0,regression,True,mean absolute error,0.089728,0.09076987190335585,DecisionTreeRegressor()
label,125,0.0,regression,True,mean absolute error,0.21073360000000002,0.21437558761612258,DecisionTreeRegressor()
label,128,0.0002671049404173731,regression,True,mean absolute error,0.15216,0.15211935731226608,DecisionTreeRegressor()
label,130,0.0,regression,True,mean absolute error,0.06635536,0.06720371264993905,DecisionTreeRegressor()
label,131,0.0,regression,True,mean absolute error,0.0015346399999999949,0.001541199269546289,DecisionTreeRegressor()
label,133,0.0,regression,True,mean absolute error,5.049412390087927,5.056047962752775,DecisionTreeRegressor()
label,137,0.0,regression,True,mean absolute error,43.138911128903125,43.337544417127546,DecisionTreeRegressor()
label,205,0.0,regression,True,mean absolute error,3.318822115384615,3.585912799225742,DecisionTreeRegressor()
label,212,0.0,regression,True,mean absolute error,0.019735198702351988,0.021326129603164795,DecisionTreeRegressor()
label,274,0.0,regression,True,mean absolute error,55.271573064516126,58.785036485250984,DecisionTreeRegressor()
label,275,0.0,regression,True,mean absolute error,8.124579274193549,16.11439118431819,DecisionTreeRegressor()
label,288,0.0,regression,True,mean absolute error,0.0014095770151636067,0.001420242035971788,DecisionTreeRegressor()
label,289,0.0,regression,True,mean absolute error,0.6205092577813248,0.6218017879093369,DecisionTreeRegressor()
label,312,0.0,regression,True,mean absolute error,0.07065746209098164,0.07999473042491471,DecisionTreeRegressor()
label,331,0.0,regression,True,mean absolute error,0.02279928,0.02296624726899949,DecisionTreeRegressor()
label,339,0.0,regression,True,mean absolute error,1.9106302884615387,1.9374039172351216,DecisionTreeRegressor()
label,343,0.0,regression,True,mean absolute error,1.4895170673076923,1.522774714510093,DecisionTreeRegressor()
label,366,0.0,regression,True,mean absolute error,0.0012650159744408943,0.0013332376432068909,DecisionTreeRegressor()
label,384,0.0,regression,True,mean absolute error,0.47852934537246045,0.5301511621591705,DecisionTreeRegressor()
label,385,0.0,regression,True,mean absolute error,0.006691445427728613,0.008213679359303363,DecisionTreeRegressor()
label,405,0.0,regression,True,mean absolute error,0.00891302957633893,0.008917693168184042,DecisionTreeRegressor()
